,content_ps,topic_ps,type_re,topic_re,title_re,content_re,label
10,"When Warwickshire-based gift service Prezzybox started looking into what made them stand out, they realised they werenâ€™t much different to competitors â€“ in terms of either product range or the way they sold them. If they continued down that track, they would become a business competing solely on price â€“ and they already knew they couldnâ€™t beat Amazon on that basis.",Leadership & Strategy,action plans,Digital Readiness ,Creating an effective remote workforce,"Remote working is nothing new, but before coronavirus it was much more the realm of freelancers or more digitally-focused businesses. Businesses forced into remote working patterns are now experiencing first hand how a blended approach can actually be of benefit. Take advantage of the many common experiences and tools available to devise an approach to remote working that suits your business best.",0.0
11,"When Warwickshire-based gift service Prezzybox started looking into what made them stand out, they realised they werenâ€™t much different to competitors â€“ in terms of either product range or the way they sold them. If they continued down that track, they would become a business competing solely on price â€“ and they already knew they couldnâ€™t beat Amazon on that basis.",Leadership & Strategy,action plans,People & Team,Improve the way you performance manage staff,"At the heart of it, performance management involves a business and its employee getting the most out of the relationship. For the business, the process involves ensuring it is able to best leverage the skills and experience an individual has while, or an employee, it helps drive learning and development key to their current job role and future career. Taking the time to ensure the way your business performance manages staff will help both sides and drive important improvements and change.",0.0
12,"When Warwickshire-based gift service Prezzybox started looking into what made them stand out, they realised they werenâ€™t much different to competitors â€“ in terms of either product range or the way they sold them. If they continued down that track, they would become a business competing solely on price â€“ and they already knew they couldnâ€™t beat Amazon on that basis.",Leadership & Strategy,action plans,Planning,Making an informed decision about investing in your business,"Investing is a big decision and many business leaders are hesitant because it might not go to plan. But, without investment, some areas can become ineffective and stagnate. By talking to peers and staff, looking at what support is available, and making a clear business case for new investments, you can make a more informed decision and identify the investments which will have the most impact in the long term.",1.0
13,"When Warwickshire-based gift service Prezzybox started looking into what made them stand out, they realised they werenâ€™t much different to competitors â€“ in terms of either product range or the way they sold them. If they continued down that track, they would become a business competing solely on price â€“ and they already knew they couldnâ€™t beat Amazon on that basis.",Leadership & Strategy,action plans,Planning,Predict future trends in your market,"Market disruptors, new technology and cultural shifts can all have an impact on business development, but business leaders need to focus on predicting future trends, rather than just reacting to change. This starts with keeping yourself and your employees proactively engaged in change and encouraging a company culture that anticipates whatâ€™s ahead.",1.0
14,"When Warwickshire-based gift service Prezzybox started looking into what made them stand out, they realised they werenâ€™t much different to competitors â€“ in terms of either product range or the way they sold them. If they continued down that track, they would become a business competing solely on price â€“ and they already knew they couldnâ€™t beat Amazon on that basis.",Leadership & Strategy,action plans,Sales & Growth,Identifying growth opportunities in your current customer base,Starting at the bottom of your sales funnel is a great way to increase revenue. What new opportunities can you find to help your existing customers? Market research is easier because you have existing relationships and the cost of sale is likely to be lower because you donâ€™t need to reach a new audience.,1.0
15,"When Warwickshire-based gift service Prezzybox started looking into what made them stand out, they realised they werenâ€™t much different to competitors â€“ in terms of either product range or the way they sold them. If they continued down that track, they would become a business competing solely on price â€“ and they already knew they couldnâ€™t beat Amazon on that basis.",Leadership & Strategy,guides,People & Team,An introduction to improving hiring and onboarding practices,"Businesses need strong hiring and onboarding practices to attract and retain talent thatâ€™s moving around more than ever.The current challenges faced by business leaders are indicative of how much employee expectations and ambitions have changed. The era of lifetime employment is over â€“ 21 per cent of millennials changed jobs in the past year, more than three times the number of non-millennials.There are also higher expectations for onboarding too. Research found that 91 per cent would consider leaving a job within their first month and 93 per cent during their probation period.Few businesses can afford to make mistakes when it comes to hiring, whether itâ€™s recruiting the wrong person or failing to spend enough time integrating them into the company.Itâ€™s essential to think about how â€“ and where â€“ youâ€™re finding candidates and what their first experiences of your business are like.In this guide, weâ€™ll look at how hiring and onboarding has changed, common mistakes companies make and quick wins that can improve your practices. The next step will be to use our focussed Action Plan to direct your change and improvement.",0.0
16,"When Warwickshire-based gift service Prezzybox started looking into what made them stand out, they realised they werenâ€™t much different to competitors â€“ in terms of either product range or the way they sold them. If they continued down that track, they would become a business competing solely on price â€“ and they already knew they couldnâ€™t beat Amazon on that basis.",Leadership & Strategy,guides,Leadership & Strategy,An introduction to getting better at delegating and giving your team autonomy,"As businesses grow many leaders find it difficult to give up control. However, giving your team autonomy benefits both you and your staff.",0.0
17,"When Warwickshire-based gift service Prezzybox started looking into what made them stand out, they realised they werenâ€™t much different to competitors â€“ in terms of either product range or the way they sold them. If they continued down that track, they would become a business competing solely on price â€“ and they already knew they couldnâ€™t beat Amazon on that basis.",Leadership & Strategy,guides,Sales & Growth,An introduction to benchmarking your business against competitors,Finding out exactly how your business shapes up against your competitors is key to ensuring its success in a crowded market.,1.0
18,"When Warwickshire-based gift service Prezzybox started looking into what made them stand out, they realised they werenâ€™t much different to competitors â€“ in terms of either product range or the way they sold them. If they continued down that track, they would become a business competing solely on price â€“ and they already knew they couldnâ€™t beat Amazon on that basis.",Leadership & Strategy,action plans,Digital Readiness ,Setting your objective,Beginning the adoption of any new technology should start with being clear about what you want the software to do or the problem youâ€™d like it to fix. That will help direct any future decisions you need to make and prevent you from investing in something your business either doesnâ€™t need or wonâ€™t actually use.,1.0
19,"When Warwickshire-based gift service Prezzybox started looking into what made them stand out, they realised they werenâ€™t much different to competitors â€“ in terms of either product range or the way they sold them. If they continued down that track, they would become a business competing solely on price â€“ and they already knew they couldnâ€™t beat Amazon on that basis.",Leadership & Strategy,action plans,Leadership & Strategy,Taking action to overcome a problem in your business,"If you think youâ€™ve found a potential problem in your business, the next step is to decide on the actions youâ€™re going to take in response. What you decide to do â€“ and how quickly you do it â€“ will be pivotal in determining whether the problem can be solved at a small scale or whether it develops into a new, bigger challenge.",1.0
20,"When they expanded operations into Germany and the Netherlands, boxed mattress company OTTY Sleep was up against a whole load of global competitors. One of them had just had a Â£75m investment, whereas OTTY was on a shoestring budget. To continue selling their mattresses at an affordable price point â€“ up to Â£200 less than the competition â€“ OTTY needed to find a way to level the playing field.",Sales & Growth,action plans,Digital Readiness ,Creating an effective remote workforce,"Remote working is nothing new, but before coronavirus it was much more the realm of freelancers or more digitally-focused businesses. Businesses forced into remote working patterns are now experiencing first hand how a blended approach can actually be of benefit. Take advantage of the many common experiences and tools available to devise an approach to remote working that suits your business best.",0.0
21,"When they expanded operations into Germany and the Netherlands, boxed mattress company OTTY Sleep was up against a whole load of global competitors. One of them had just had a Â£75m investment, whereas OTTY was on a shoestring budget. To continue selling their mattresses at an affordable price point â€“ up to Â£200 less than the competition â€“ OTTY needed to find a way to level the playing field.",Sales & Growth,action plans,People & Team,Improve the way you performance manage staff,"At the heart of it, performance management involves a business and its employee getting the most out of the relationship. For the business, the process involves ensuring it is able to best leverage the skills and experience an individual has while, or an employee, it helps drive learning and development key to their current job role and future career. Taking the time to ensure the way your business performance manages staff will help both sides and drive important improvements and change.",0.0
22,"When they expanded operations into Germany and the Netherlands, boxed mattress company OTTY Sleep was up against a whole load of global competitors. One of them had just had a Â£75m investment, whereas OTTY was on a shoestring budget. To continue selling their mattresses at an affordable price point â€“ up to Â£200 less than the competition â€“ OTTY needed to find a way to level the playing field.",Sales & Growth,action plans,Planning,Making an informed decision about investing in your business,"Investing is a big decision and many business leaders are hesitant because it might not go to plan. But, without investment, some areas can become ineffective and stagnate. By talking to peers and staff, looking at what support is available, and making a clear business case for new investments, you can make a more informed decision and identify the investments which will have the most impact in the long term.",1.0
23,"When they expanded operations into Germany and the Netherlands, boxed mattress company OTTY Sleep was up against a whole load of global competitors. One of them had just had a Â£75m investment, whereas OTTY was on a shoestring budget. To continue selling their mattresses at an affordable price point â€“ up to Â£200 less than the competition â€“ OTTY needed to find a way to level the playing field.",Sales & Growth,action plans,Planning,Predict future trends in your market,"Market disruptors, new technology and cultural shifts can all have an impact on business development, but business leaders need to focus on predicting future trends, rather than just reacting to change. This starts with keeping yourself and your employees proactively engaged in change and encouraging a company culture that anticipates whatâ€™s ahead.",1.0
24,"When they expanded operations into Germany and the Netherlands, boxed mattress company OTTY Sleep was up against a whole load of global competitors. One of them had just had a Â£75m investment, whereas OTTY was on a shoestring budget. To continue selling their mattresses at an affordable price point â€“ up to Â£200 less than the competition â€“ OTTY needed to find a way to level the playing field.",Sales & Growth,action plans,Sales & Growth,Identifying growth opportunities in your current customer base,Starting at the bottom of your sales funnel is a great way to increase revenue. What new opportunities can you find to help your existing customers? Market research is easier because you have existing relationships and the cost of sale is likely to be lower because you donâ€™t need to reach a new audience.,1.0
25,"When they expanded operations into Germany and the Netherlands, boxed mattress company OTTY Sleep was up against a whole load of global competitors. One of them had just had a Â£75m investment, whereas OTTY was on a shoestring budget. To continue selling their mattresses at an affordable price point â€“ up to Â£200 less than the competition â€“ OTTY needed to find a way to level the playing field.",Sales & Growth,guides,People & Team,An introduction to improving hiring and onboarding practices,"Businesses need strong hiring and onboarding practices to attract and retain talent thatâ€™s moving around more than ever.The current challenges faced by business leaders are indicative of how much employee expectations and ambitions have changed. The era of lifetime employment is over â€“ 21 per cent of millennials changed jobs in the past year, more than three times the number of non-millennials.There are also higher expectations for onboarding too. Research found that 91 per cent would consider leaving a job within their first month and 93 per cent during their probation period.Few businesses can afford to make mistakes when it comes to hiring, whether itâ€™s recruiting the wrong person or failing to spend enough time integrating them into the company.Itâ€™s essential to think about how â€“ and where â€“ youâ€™re finding candidates and what their first experiences of your business are like.In this guide, weâ€™ll look at how hiring and onboarding has changed, common mistakes companies make and quick wins that can improve your practices. The next step will be to use our focussed Action Plan to direct your change and improvement.",0.0
26,"When they expanded operations into Germany and the Netherlands, boxed mattress company OTTY Sleep was up against a whole load of global competitors. One of them had just had a Â£75m investment, whereas OTTY was on a shoestring budget. To continue selling their mattresses at an affordable price point â€“ up to Â£200 less than the competition â€“ OTTY needed to find a way to level the playing field.",Sales & Growth,guides,Leadership & Strategy,An introduction to getting better at delegating and giving your team autonomy,"As businesses grow many leaders find it difficult to give up control. However, giving your team autonomy benefits both you and your staff.",0.0
27,"When they expanded operations into Germany and the Netherlands, boxed mattress company OTTY Sleep was up against a whole load of global competitors. One of them had just had a Â£75m investment, whereas OTTY was on a shoestring budget. To continue selling their mattresses at an affordable price point â€“ up to Â£200 less than the competition â€“ OTTY needed to find a way to level the playing field.",Sales & Growth,guides,Sales & Growth,An introduction to benchmarking your business against competitors,Finding out exactly how your business shapes up against your competitors is key to ensuring its success in a crowded market.,1.0
28,"When they expanded operations into Germany and the Netherlands, boxed mattress company OTTY Sleep was up against a whole load of global competitors. One of them had just had a Â£75m investment, whereas OTTY was on a shoestring budget. To continue selling their mattresses at an affordable price point â€“ up to Â£200 less than the competition â€“ OTTY needed to find a way to level the playing field.",Sales & Growth,action plans,Digital Readiness ,Setting your objective,Beginning the adoption of any new technology should start with being clear about what you want the software to do or the problem youâ€™d like it to fix. That will help direct any future decisions you need to make and prevent you from investing in something your business either doesnâ€™t need or wonâ€™t actually use.,1.0
29,"When they expanded operations into Germany and the Netherlands, boxed mattress company OTTY Sleep was up against a whole load of global competitors. One of them had just had a Â£75m investment, whereas OTTY was on a shoestring budget. To continue selling their mattresses at an affordable price point â€“ up to Â£200 less than the competition â€“ OTTY needed to find a way to level the playing field.",Sales & Growth,action plans,Leadership & Strategy,Taking action to overcome a problem in your business,"If you think youâ€™ve found a potential problem in your business, the next step is to decide on the actions youâ€™re going to take in response. What you decide to do â€“ and how quickly you do it â€“ will be pivotal in determining whether the problem can be solved at a small scale or whether it develops into a new, bigger challenge.",1.0
30,"Welcoming a new MD into Harvey Water Softeners presented an opportunity for improvement. The business had been run in a similar way for 40 years, creating a patriarchal culture. But as the firm grew from a handful of staff to 100, it became clear that the old ways of managing people were outdated. The leadership team needed better, more professional ways to get the most out of their people.",People & Team,action plans,Digital Readiness ,Creating an effective remote workforce,"Remote working is nothing new, but before coronavirus it was much more the realm of freelancers or more digitally-focused businesses. Businesses forced into remote working patterns are now experiencing first hand how a blended approach can actually be of benefit. Take advantage of the many common experiences and tools available to devise an approach to remote working that suits your business best.",0.0
31,"Welcoming a new MD into Harvey Water Softeners presented an opportunity for improvement. The business had been run in a similar way for 40 years, creating a patriarchal culture. But as the firm grew from a handful of staff to 100, it became clear that the old ways of managing people were outdated. The leadership team needed better, more professional ways to get the most out of their people.",People & Team,action plans,People & Team,Improve the way you performance manage staff,"At the heart of it, performance management involves a business and its employee getting the most out of the relationship. For the business, the process involves ensuring it is able to best leverage the skills and experience an individual has while, or an employee, it helps drive learning and development key to their current job role and future career. Taking the time to ensure the way your business performance manages staff will help both sides and drive important improvements and change.",1.0
32,"Welcoming a new MD into Harvey Water Softeners presented an opportunity for improvement. The business had been run in a similar way for 40 years, creating a patriarchal culture. But as the firm grew from a handful of staff to 100, it became clear that the old ways of managing people were outdated. The leadership team needed better, more professional ways to get the most out of their people.",People & Team,action plans,Planning,Making an informed decision about investing in your business,"Investing is a big decision and many business leaders are hesitant because it might not go to plan. But, without investment, some areas can become ineffective and stagnate. By talking to peers and staff, looking at what support is available, and making a clear business case for new investments, you can make a more informed decision and identify the investments which will have the most impact in the long term.",0.0
33,"Welcoming a new MD into Harvey Water Softeners presented an opportunity for improvement. The business had been run in a similar way for 40 years, creating a patriarchal culture. But as the firm grew from a handful of staff to 100, it became clear that the old ways of managing people were outdated. The leadership team needed better, more professional ways to get the most out of their people.",People & Team,action plans,Planning,Predict future trends in your market,"Market disruptors, new technology and cultural shifts can all have an impact on business development, but business leaders need to focus on predicting future trends, rather than just reacting to change. This starts with keeping yourself and your employees proactively engaged in change and encouraging a company culture that anticipates whatâ€™s ahead.",0.0
34,"Welcoming a new MD into Harvey Water Softeners presented an opportunity for improvement. The business had been run in a similar way for 40 years, creating a patriarchal culture. But as the firm grew from a handful of staff to 100, it became clear that the old ways of managing people were outdated. The leadership team needed better, more professional ways to get the most out of their people.",People & Team,action plans,Sales & Growth,Identifying growth opportunities in your current customer base,Starting at the bottom of your sales funnel is a great way to increase revenue. What new opportunities can you find to help your existing customers? Market research is easier because you have existing relationships and the cost of sale is likely to be lower because you donâ€™t need to reach a new audience.,0.0
35,"Welcoming a new MD into Harvey Water Softeners presented an opportunity for improvement. The business had been run in a similar way for 40 years, creating a patriarchal culture. But as the firm grew from a handful of staff to 100, it became clear that the old ways of managing people were outdated. The leadership team needed better, more professional ways to get the most out of their people.",People & Team,guides,People & Team,An introduction to improving hiring and onboarding practices,"Businesses need strong hiring and onboarding practices to attract and retain talent thatâ€™s moving around more than ever.The current challenges faced by business leaders are indicative of how much employee expectations and ambitions have changed. The era of lifetime employment is over â€“ 21 per cent of millennials changed jobs in the past year, more than three times the number of non-millennials.There are also higher expectations for onboarding too. Research found that 91 per cent would consider leaving a job within their first month and 93 per cent during their probation period.Few businesses can afford to make mistakes when it comes to hiring, whether itâ€™s recruiting the wrong person or failing to spend enough time integrating them into the company.Itâ€™s essential to think about how â€“ and where â€“ youâ€™re finding candidates and what their first experiences of your business are like.In this guide, weâ€™ll look at how hiring and onboarding has changed, common mistakes companies make and quick wins that can improve your practices. The next step will be to use our focussed Action Plan to direct your change and improvement.",1.0
36,"Welcoming a new MD into Harvey Water Softeners presented an opportunity for improvement. The business had been run in a similar way for 40 years, creating a patriarchal culture. But as the firm grew from a handful of staff to 100, it became clear that the old ways of managing people were outdated. The leadership team needed better, more professional ways to get the most out of their people.",People & Team,guides,Leadership & Strategy,An introduction to getting better at delegating and giving your team autonomy,"As businesses grow many leaders find it difficult to give up control. However, giving your team autonomy benefits both you and your staff.",1.0
37,"Welcoming a new MD into Harvey Water Softeners presented an opportunity for improvement. The business had been run in a similar way for 40 years, creating a patriarchal culture. But as the firm grew from a handful of staff to 100, it became clear that the old ways of managing people were outdated. The leadership team needed better, more professional ways to get the most out of their people.",People & Team,guides,Sales & Growth,An introduction to benchmarking your business against competitors,Finding out exactly how your business shapes up against your competitors is key to ensuring its success in a crowded market.,0.0
38,"Welcoming a new MD into Harvey Water Softeners presented an opportunity for improvement. The business had been run in a similar way for 40 years, creating a patriarchal culture. But as the firm grew from a handful of staff to 100, it became clear that the old ways of managing people were outdated. The leadership team needed better, more professional ways to get the most out of their people.",People & Team,action plans,Digital Readiness ,Setting your objective,Beginning the adoption of any new technology should start with being clear about what you want the software to do or the problem youâ€™d like it to fix. That will help direct any future decisions you need to make and prevent you from investing in something your business either doesnâ€™t need or wonâ€™t actually use.,1.0
39,"Welcoming a new MD into Harvey Water Softeners presented an opportunity for improvement. The business had been run in a similar way for 40 years, creating a patriarchal culture. But as the firm grew from a handful of staff to 100, it became clear that the old ways of managing people were outdated. The leadership team needed better, more professional ways to get the most out of their people.",People & Team,action plans,Leadership & Strategy,Taking action to overcome a problem in your business,"If you think youâ€™ve found a potential problem in your business, the next step is to decide on the actions youâ€™re going to take in response. What you decide to do â€“ and how quickly you do it â€“ will be pivotal in determining whether the problem can be solved at a small scale or whether it develops into a new, bigger challenge.",1.0
40,"Birmingham-based sales software company OneUp Sales knew their onboarding process had to change when new hires struggled to perform. They had never put any formal processes in place, preferring to train new employees ad-hoc on the job. But as the company grew, staff needed more direction. â€œIf you go through something over and over again and theyâ€™re still not doing it the way you taught, itâ€™s not working,â€ said Derry Holt, OneUp Salesâ€™ CEO.",People & Team,action plans,Digital Readiness ,Creating an effective remote workforce,"Remote working is nothing new, but before coronavirus it was much more the realm of freelancers or more digitally-focused businesses. Businesses forced into remote working patterns are now experiencing first hand how a blended approach can actually be of benefit. Take advantage of the many common experiences and tools available to devise an approach to remote working that suits your business best.",0.0
41,"Birmingham-based sales software company OneUp Sales knew their onboarding process had to change when new hires struggled to perform. They had never put any formal processes in place, preferring to train new employees ad-hoc on the job. But as the company grew, staff needed more direction. â€œIf you go through something over and over again and theyâ€™re still not doing it the way you taught, itâ€™s not working,â€ said Derry Holt, OneUp Salesâ€™ CEO.",People & Team,action plans,People & Team,Improve the way you performance manage staff,"At the heart of it, performance management involves a business and its employee getting the most out of the relationship. For the business, the process involves ensuring it is able to best leverage the skills and experience an individual has while, or an employee, it helps drive learning and development key to their current job role and future career. Taking the time to ensure the way your business performance manages staff will help both sides and drive important improvements and change.",1.0
42,"Birmingham-based sales software company OneUp Sales knew their onboarding process had to change when new hires struggled to perform. They had never put any formal processes in place, preferring to train new employees ad-hoc on the job. But as the company grew, staff needed more direction. â€œIf you go through something over and over again and theyâ€™re still not doing it the way you taught, itâ€™s not working,â€ said Derry Holt, OneUp Salesâ€™ CEO.",People & Team,action plans,Planning,Making an informed decision about investing in your business,"Investing is a big decision and many business leaders are hesitant because it might not go to plan. But, without investment, some areas can become ineffective and stagnate. By talking to peers and staff, looking at what support is available, and making a clear business case for new investments, you can make a more informed decision and identify the investments which will have the most impact in the long term.",0.0
43,"Birmingham-based sales software company OneUp Sales knew their onboarding process had to change when new hires struggled to perform. They had never put any formal processes in place, preferring to train new employees ad-hoc on the job. But as the company grew, staff needed more direction. â€œIf you go through something over and over again and theyâ€™re still not doing it the way you taught, itâ€™s not working,â€ said Derry Holt, OneUp Salesâ€™ CEO.",People & Team,action plans,Planning,Predict future trends in your market,"Market disruptors, new technology and cultural shifts can all have an impact on business development, but business leaders need to focus on predicting future trends, rather than just reacting to change. This starts with keeping yourself and your employees proactively engaged in change and encouraging a company culture that anticipates whatâ€™s ahead.",0.0
44,"Birmingham-based sales software company OneUp Sales knew their onboarding process had to change when new hires struggled to perform. They had never put any formal processes in place, preferring to train new employees ad-hoc on the job. But as the company grew, staff needed more direction. â€œIf you go through something over and over again and theyâ€™re still not doing it the way you taught, itâ€™s not working,â€ said Derry Holt, OneUp Salesâ€™ CEO.",People & Team,action plans,Sales & Growth,Identifying growth opportunities in your current customer base,Starting at the bottom of your sales funnel is a great way to increase revenue. What new opportunities can you find to help your existing customers? Market research is easier because you have existing relationships and the cost of sale is likely to be lower because you donâ€™t need to reach a new audience.,0.0
45,"Birmingham-based sales software company OneUp Sales knew their onboarding process had to change when new hires struggled to perform. They had never put any formal processes in place, preferring to train new employees ad-hoc on the job. But as the company grew, staff needed more direction. â€œIf you go through something over and over again and theyâ€™re still not doing it the way you taught, itâ€™s not working,â€ said Derry Holt, OneUp Salesâ€™ CEO.",People & Team,guides,People & Team,An introduction to improving hiring and onboarding practices,"Businesses need strong hiring and onboarding practices to attract and retain talent thatâ€™s moving around more than ever.The current challenges faced by business leaders are indicative of how much employee expectations and ambitions have changed. The era of lifetime employment is over â€“ 21 per cent of millennials changed jobs in the past year, more than three times the number of non-millennials.There are also higher expectations for onboarding too. Research found that 91 per cent would consider leaving a job within their first month and 93 per cent during their probation period.Few businesses can afford to make mistakes when it comes to hiring, whether itâ€™s recruiting the wrong person or failing to spend enough time integrating them into the company.Itâ€™s essential to think about how â€“ and where â€“ youâ€™re finding candidates and what their first experiences of your business are like.In this guide, weâ€™ll look at how hiring and onboarding has changed, common mistakes companies make and quick wins that can improve your practices. The next step will be to use our focussed Action Plan to direct your change and improvement.",1.0
46,"Birmingham-based sales software company OneUp Sales knew their onboarding process had to change when new hires struggled to perform. They had never put any formal processes in place, preferring to train new employees ad-hoc on the job. But as the company grew, staff needed more direction. â€œIf you go through something over and over again and theyâ€™re still not doing it the way you taught, itâ€™s not working,â€ said Derry Holt, OneUp Salesâ€™ CEO.",People & Team,guides,Leadership & Strategy,An introduction to getting better at delegating and giving your team autonomy,"As businesses grow many leaders find it difficult to give up control. However, giving your team autonomy benefits both you and your staff.",1.0
47,"Birmingham-based sales software company OneUp Sales knew their onboarding process had to change when new hires struggled to perform. They had never put any formal processes in place, preferring to train new employees ad-hoc on the job. But as the company grew, staff needed more direction. â€œIf you go through something over and over again and theyâ€™re still not doing it the way you taught, itâ€™s not working,â€ said Derry Holt, OneUp Salesâ€™ CEO.",People & Team,guides,Sales & Growth,An introduction to benchmarking your business against competitors,Finding out exactly how your business shapes up against your competitors is key to ensuring its success in a crowded market.,0.0
48,"Birmingham-based sales software company OneUp Sales knew their onboarding process had to change when new hires struggled to perform. They had never put any formal processes in place, preferring to train new employees ad-hoc on the job. But as the company grew, staff needed more direction. â€œIf you go through something over and over again and theyâ€™re still not doing it the way you taught, itâ€™s not working,â€ said Derry Holt, OneUp Salesâ€™ CEO.",People & Team,action plans,Digital Readiness ,Setting your objective,Beginning the adoption of any new technology should start with being clear about what you want the software to do or the problem youâ€™d like it to fix. That will help direct any future decisions you need to make and prevent you from investing in something your business either doesnâ€™t need or wonâ€™t actually use.,0.0
